flash,ram,text,code,rodata,data,bss,dec,hex,filename,filename
7226,1488,7226,6200,1026,0,1488,8714,`220a,txl_he.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1369,80,1369,1320,49,0,80,1449,`5a9,txl_cfm.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
5627,392,5627,5106,521,0,392,6019,`1783,txl_cntrl.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
22,0,22,2,20,0,0,22,`16,tx_swdesc.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
6143,1066,6143,5720,423,0,1066,7209,`1c29,rwnx.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
964,0,964,770,194,0,0,964,`3c4,tpc.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1375,2,1375,940,435,0,2,1377,`561,scan_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2232,44,2232,1966,266,0,44,2276,`8e4,scan.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2049,33,2049,1860,189,0,33,2082,`822,rxl_cntrl.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
12,0,12,12,0,0,0,12,`c,hal_mib.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
8326,5,8326,5774,2552,0,5,8331,`208b,hal_machw.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
9810,156,9810,8744,1066,0,156,9966,`26ee,sm.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
5469,2,5469,4448,1021,0,2,5471,`155f,sm_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
5053,0,5053,4806,247,0,0,5053,`13bd,me_utils.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
4031,0,4031,3750,281,0,0,4031,`fbf,me_mgmtframe.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2212,116,2208,1970,238,4,112,2324,`914,me_strategy.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
552,396,552,456,96,0,396,948,`3b4,me.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
4138,2,4138,3452,686,0,2,4140,`102c,me_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
6188,3296,6188,5650,538,0,3296,9484,`250c,scanu.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1426,2,1426,972,454,0,2,1428,`594,scanu_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
7930,5120,7930,7414,516,0,5120,13050,`32fa,rxu_cntrl.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
760,0,760,760,0,0,0,760,`2f8,mfp.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2269,0,2269,1444,825,0,0,2269,`8dd,mfp_bip.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1762,26,1762,1552,210,0,26,1788,`6fc,bam_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
3927,844,3927,3550,377,0,844,4771,`12a3,bam.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2687,16,2687,2528,159,0,16,2703,`a8f,apm.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1764,2,1764,1272,492,0,2,1766,`6e6,apm_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
4321,44,4321,3844,477,0,44,4365,`110d,txu_cntrl.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2542,643,2542,2390,152,0,643,3185,`c71,twt.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
576,0,576,544,32,0,0,576,`240,twt_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
989,2,989,788,201,0,2,991,`3df,ftm_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
68,0,68,56,12,0,0,68,`44,llc.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
4828,329,4828,4480,348,0,329,5157,`1425,p2p.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
13298,20,13282,11722,1560,16,4,13302,`33f6,bk_rc.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
3103,17740,3103,2714,389,0,17740,20843,`516b,rxl_hwdesc.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
554,8,554,480,74,0,8,562,`232,crm.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
10554,77,10554,9540,1014,0,77,10631,`2987,phy_karst_bk7236.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
12,4,12,12,0,0,4,16,`10,raw_link_scan.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2635,148,2487,1858,629,148,0,2635,`a4b,bk_wifi_phy_api.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
6,0,6,6,0,0,0,6,`6,dbg_print.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1060,0,1060,36,1024,0,0,1060,`424,co_math.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
375,0,375,344,31,0,0,375,`177,txl_buffer.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
463,0,463,450,13,0,0,463,`1cf,me_mic.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1201,96,1201,1152,49,0,96,1297,`511,ftm.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
